country,title,date-submitted,download-link
Brazil,[Brazil NAP - English],"May 12, 2016",[Brazil NAP - English](https://www4.unfccc.int/sites/NAPC/Documents/Parties/Brazil NAP English.pdf)
Brazil,Brazil NAP - Portuguese,"May 12, 2016",[Brazil NAP - Portuguese](https://www4.unfccc.int/sites/NAPC/Documents/Parties/Brazil PNA Portuguese.pdf)
Burkina Faso,Burkina Faso NAP,"October 15, 2015",https://www4.unfccc.int/sites/NAPC/Documents/Parties/PNA_Version_version finale%5bTransmission%5d.pdf
Burkina Faso,Burkina Faso NAP,"October 15, 2015",https://www4.unfccc.int/sites/NAPC/Documents/Parties/PNA_Version_version francaise finale BF.pdf
Cameroon,Cameroon NAP - Fench,"October 26, 2015",https://www4.unfccc.int/sites/NAPC/Documents/Parties/PNACC_Cameroun_VF_Valid%c3%a9e_24062015 - FINAL.pdf
Chile,Chile NAP - Spanish,"September 7, 2017",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Chile NAP including sectoral plans Spanish.pdf
Colombia,Colombia NAP - Spanish,"February 27, 2018",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Colombia NAP Spanish.pdf
Ethiopia,Ethiopia NAP,"March 1, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Final Ethiopia-national-adaptation-plan %281%29.pdf
Fiji,Fiji NAP,"June 28, 2018",https://www4.unfccc.int/sites/NAPC/Documents/Parties/National Adaptation Plan_Fiji.pdf
Grenada,Grenada NAP,"November 6, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Grenada_National Adaptation Plan_ 2017-2021.pdf
Guatemala,Guatemala NAP - Spanish,"August 2, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Guatemala NAP small.pdf
Kenya,Kenya NAP,"February 28, 2017",https://www4.unfccc.int/sites/NAPC/Documents NAP/Kenya_NAP_Final.pdf
Kiribati,Kiribati NAP,"January 21, 2020",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Kiribati-Joint-Implementation-Plan-for-Climate-Change-and-Disaster-Risk-Management-2019-2028.pdf
Kuwait,Kuwait National Adaptation Plan 2019-2030,"February 11, 2021",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Kuwait%20National%20Adaptation%20Plan%202019-2030.pdf
Paraguay,Paraguay NAP,"May 3, 2020",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Plan Nacional de Adaptaci%c3%b3n al Cambio Clim%c3%a1tico_Paraguay_final.pdf
Saint Lucia,Saint Lucia NAP,"September 21, 2018?",https://www4.unfccc.int/sites/NAPC/Documents/Parties/SLU-NAP-May-2018.pdf
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines NAP,"November 14, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/FINAL NAP_SVG_Approved.pdf
Sri Lanka,Sri Lanka NAP,"November 1, 2016",https://www4.unfccc.int/sites/NAPC/Documents NAP/National Reports/National Adaptation Plan of Sri Lanka.pdf
State of Palestine,State of Palestine NAP,"November 11, 2016",https://www4.unfccc.int/sites/NAPC/Documents NAP/National Reports/State of Palestine NAP.pdf
Sudan,Sudan NAP,"September 26, 2016",https://www4.unfccc.int/sites/NAPC/Documents NAP/National Reports/Sudan NAP.pdf
Suriname,Suriname NAP,"June 2, 2020",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Suriname Final NAP_apr 2020.pdf
Timor-Leste,TIMOR-LESTE’S NATIONAL ADAPTATION PLAN: Addressing climate risks and building climate resilience,"?March 31, 2021",https://www4.unfccc.int/sites/NAPC/Documents/Parties/Timor%20Leste%20NAP.pdf
Togo,Togo NAP - French,"January 17, 2018",https://www4.unfccc.int/sites/NAPC/Documents NAP/Togo NAP.pdf
Uruguay,Uruguay Agriculture NAP Executive Summary - English,"December 3, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/NAP agriculture Uruguay executive summary ENG.pdf
Uruguay,Uruguay Agriculture NAP Executive Summary - Spanish,"December 3, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/NAP agriculture Uruguay executive summary ESP.pdf
Uruguay,Uruguay Agriculture NAP - Spanish,"December 3, 2019",https://www4.unfccc.int/sites/NAPC/Documents/Parties/NAP Agriculture Uruguay.pdf
